id,Name,Code
hail,Hail,e9b1
handyman,Handyman,f10b
hardware,Hardware,ea59
hd,Hd,e052
hdr_enhanced_select,Hdr Enhanced Select,ef51
hdr_off,Hdr Off,e3ed
hdr_on,Hdr on,e3ee
hdr_strong,Hdr Strong,e3f1
hdr_weak,Hdr Weak,e3f2
headset,Headset,e310
headset_mic,Headset Mic,e311
headset_off,Headset Off,e33a
healing,Healing,e3f3
hearing,Hearing,e023
hearing_disabled,Hearing Disabled,f104
height,Height,ea16
help,Help,e887
help_center,Help Center,f1c0
help_outline,Help Outline,e8fd
high_quality,High Quality,e024
highlight,Highlight,e25f
highlight_alt,Highlight Alt,ef52
highlight_off,Highlight Off,e888
highlight_remove,Highlight Remove,e888
history,History,e889
history_edu,History Edu,ea3e
history_toggle_off,History Toggle Off,f17d
home,Home,e88a
home_filled,Home Filled,e9b2
home_repair_service,Home Repair Service,f100
home_work,Home Work,ea09
horizontal_distribute,Horizontal Distribute,e014
horizontal_rule,Horizontal Rule,f108
horizontal_split,Horizontal Split,e947
hot_tub,Hot Tub,eb46
hotel,Hotel,e53a
hourglass_bottom,Hourglass Bottom,ea5c
hourglass_disabled,Hourglass Disabled,ef53
hourglass_empty,Hourglass Empty,e88b
hourglass_full,Hourglass Full,e88c
hourglass_top,Hourglass Top,ea5b
house,House,ea44
house_siding,House Siding,f202
how_to_reg,How to Reg,e174
how_to_vote,How to Vote,e175
http,Http,e902
https,Https,e88d
hvac,Hvac,f10e
icecream,Icecream,ea69
image,Image,e3f4
image_aspect_ratio,Image Aspect Ratio,e3f5
image_not_supported,Image Not Supported,f116
image_search,Image Search,e43f
imagesearch_roller,Imagesearch Roller,e9b4
import_contacts,Import Contacts,e0e0
import_export,Import Export,e0c3
important_devices,Important Devices,e912
inbox,Inbox,e156
indeterminate_check_box,Indeterminate Check Box,e909
info,Info,e88e
info_outline,Info Outline,e88f
input,Input,e890
insert_chart,Insert Chart,e24b
insert_chart_outlined,Insert Chart Outlined,e26a
insert_comment,Insert Comment,e24c
insert_drive_file,Insert Drive File,e24d
insert_emoticon,Insert Emoticon,e24e
insert_invitation,Insert Invitation,e24f
insert_link,Insert Link,e250
insert_photo,Insert Photo,e251
insights,Insights,f092
integration_instructions,Integration Instructions,ef54
inventory,Inventory,e179
invert_colors,Invert Colors,e891
invert_colors_off,Invert Colors Off,e0c4
